PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,hour,day,month,DC_POWER_CATEGORY
4135001,2,6400.857143,626.9714286,7360.428571,7060628.429,15,24,5,1
4135001,2,0.0,0.0,8633.0,7210719.0,19,13,6,6
4135001,9,0.0,0.0,7535.0,7259075.0,21,5,6,6
4135001,8,8172.0,799.8285714,3927.571429,6526099.571,13,15,5,5
4135001,21,4571.285714,448.6285714,409.4285714,7310865.429,8,10,6,3
4135001,6,0.0,0.0,0.0,7101117.0,4,25,5,6
4135001,17,3748.875,368.4625,255.75,7202628.75,7,6,6,3
4135001,5,0.0,0.0,8180.0,7280512.0,21,24,5,6
4135001,2,6603.571429,646.8428571,6664.285714,7108853.286,16,30,5,1
4135001,4,0.0,0.0,0.0,7316761.0,0,5,6,6
4135001,19,8178.0,800.325,1386.75,7212450.75,10,12,6,5
4135001,5,9871.285714,964.1285714,4749.571429,7399445.571,12,9,6,5
4135001,11,0.0,0.0,7440.0,6384212.0,22,24,5,6
4135001,8,0.0,0.0,0.0,6662968.0,23,2,6,6
4135001,11,0.0,0.0,0.0,6427681.0,1,31,5,6
4135001,5,1472.142857,143.6,6260.428571,7450129.429,17,16,6,2
4135001,8,5118.571429,501.7857143,696.4285714,6765504.429,9,17,6,3
4135001,21,0.0,0.0,8410.0,7336960.0,21,13,6,6
4135001,18,0.0,0.0,0.0,6909405.0,4,1,6,6
4135001,6,0.0,0.0,0.0,7267579.0,2,17,6,6
4135001,11,0.0,0.0,0.0,6384212.0,2,25,5,6
4135001,10,0.0,0.0,6705.0,6284443.0,22,16,5,6
4135001,18,0.0,0.0,0.0,6922869.0,2,3,6,6
4135001,13,0.0,0.0,6564.0,6414247.0,21,15,6,6
4135001,11,0.0,0.0,0.0,6445487.0,0,3,6,6
4135001,9,8665.75,847.5375,1874.5,7155587.5,10,23,5,5
4135001,20,8321.0,814.0428571,6671.285714,6358821.286,15,17,5,5
4135001,17,0.0,0.0,8844.0,7120696.0,21,25,5,6
4135001,20,8437.285714,825.6857143,7886.714286,6419644.714,15,25,5,5
4135001,19,0.0,0.0,0.0,7080638.0,4,25,5,6
4135001,6,5892.714286,577.2428571,3330.428571,7250509.429,11,14,6,3
4135001,14,0.0,0.0,0.0,7331487.0,4,6,6,6
4135001,17,5357.875,525.175,1323.375,7060116.375,11,18,5,3
4135001,2,7128.0,697.0285714,4189.857143,7113677.857,13,31,5,1
4135001,0,0.0,0.0,0.0,6305589.0,1,22,5,6
4135001,17,0.0,0.0,7306.0,7267837.0,21,14,6,6
4135001,16,5362.375,525.725,3968.875,7175486.875,12,5,6,3
4135001,1,1331.5,129.6875,118.875,6392442.875,7,12,6,2
4135001,20,6659.142857,651.7714286,3633.714286,6460934.714,12,31,5,1
4135001,20,11757.25,1147.625,3714.0,6368761.0,12,19,5,0
4135001,14,0.0,0.0,0.0,7323691.0,1,5,6,6
4135001,20,0.0,0.0,0.0,6523269.0,1,9,6,6
4135001,9,12987.28571,1266.257143,3341.285714,7157054.286,11,23,5,0
4135001,15,12156.71429,1185.814286,3841.857143,7147653.857,11,20,5,0
4135001,5,0.0,0.0,0.0,7232554.0,3,19,5,6
4135001,10,3565.0,350.3,337.5,6395108.5,8,31,5,3
4135001,14,0.0,0.0,8475.0,7233675.0,23,23,5,6
4135001,8,7784.142857,761.3571429,4297.857143,6722069.857,13,10,6,1
4135001,17,0.0,0.0,0.0,7208855.0,20,6,6,6
4135001,0,71.57142857,6.928571429,0.857142857,6365374.857,6,30,5,2
4135001,12,0.0,0.0,0.0,7325696.0,1,4,6,6
4135001,6,6715.428571,657.7428571,3827.714286,7052931.714,14,18,5,1
4135001,0,597.7142857,57.84285714,5908.0,6418450.0,17,6,6,2
4135001,10,0.0,0.0,5999.875,6370373.0,23,27,5,6
4135001,10,0.0,0.0,0.0,6406831.0,4,2,6,6
4135001,20,10558.25,1030.525,2849.375,6398656.375,11,23,5,0
4135001,3,0.0,0.0,0.0,7651635.0,5,22,5,6
4135001,11,0.0,0.0,0.0,6527792.0,0,16,6,6
4135001,16,2727.375,267.6875,282.0,7171800.0,8,5,6,4
4135001,11,0.0,0.0,6133.0,6405833.0,21,27,5,6
4135001,6,0.0,0.0,0.0,7041430.0,3,17,5,6
4135001,4,3856.0,378.6142857,7988.0,7316357.0,16,4,6,3
4135001,0,3354.125,329.6625,4969.375,6449950.375,16,11,6,4
4135001,4,11095.85714,1083.328571,7061.428571,7380389.429,14,13,6,0
4135001,13,0.0,0.0,8085.0,6264579.0,22,25,5,6
